site_code,position,notes
SG10,sand,between patches
SG12,edge,"inside, but near edge"
SG2,sand,between patches
SG4,edge,
SB,inside,"near channel, patchy"
SC,inside,sandy patch in middle of patchy bed
SG6,inside,
SG9,edge,"inside, but near edge"
S14,sand,near edge
S15,edge,"inside, but near edge"
SG1,inside,grass mostly dead
SG17,sand,between patches
