Date,Project,Daily Tow #,Site,Project Site Name,Station,Habitat,Lat Start,Long Start,TOD,Duration (min.sec),Speed (km/hr),Distance (m),Distance (speed*duration calculation),Depth (m),Temp (°C),Sal (ppt),Other Notes
20190625,Annual Trawling,9,"Back sound, NC",C2,2,creek,34º41.617,76º36.906,15:25,2,4.3,147,,1,29.6,35,
20190625,Annual Trawling,10,"Back sound, NC",C2,2,creek,34º41.591,76º36.759,15:30,2,4.3,150,,2,29.6,35,
20190625,Annual Trawling,11,"Back sound, NC",MF1,1,mudflat,34º41.591,76º37.573,15:41,2,4.2,143,,1,28.6,35,
20190625,Annual Trawling,12,"Back sound, NC",MF1,1,mudflat,34º41.633,76º37.501,15:44,2,3.9,137,,1.25,28.6,35,
20190725,Annual Trawling,1,"Back sound, NC",SG6,6,seagrass,34º40.455,76º34.325,12:03,2:00,3.9,134,,0.8,26.8,37,
20190725,Annual Trawling,2,"Back sound, NC",SG6,6,seagrass,34º40.329,76º34.280,12:14,2:30,4,177,,0.8,26.8,37,
20190725,Annual Trawling,3,"Back sound, NC",SG9,9,seagrass,34º39.971,76º33.999,13:09,2:00,4,142,,0.9,26.9,36,
20190725,Annual Trawling,4,"Back sound, NC",SG9,9,seagrass,34º39.967,76º33.973,13:17,2:00,3.9,131,,0.7,26.9,36,sea cucumber
20190725,Annual Trawling,5,"Back sound, NC",MF7,7,mudflat,34º39.445,76º31.738,14:26,2:00,3.5,120,,0.6,27.3,36,
20190725,Annual Trawling,6,"Back sound, NC",MF7,7,mudflat,34º39.358,76º31.620,14:32,2:00,4.7,161,,0.6,27.3,36,
20190725,Annual Trawling,7,"Back sound, NC",C8,8,creek,34º38.470,76º31.834,15:13,2:00,3.1,103,,0.7,28.9,36,
20190725,Annual Trawling,8,"Back sound, NC",C8,8,creek,34º38.532,76º31.800,15:25,2:00,2.4,84,,0.9,28.9,36,
20190725,Annual Trawling,9,"Back sound, NC",SG11,11,seagrass,34º39.914,76º33.661,15:43,2:00,3.9,129,,0.5,27.7,34,
20190725,Annual Trawling,10,"Back sound, NC",SG11,11,seagrass,34º39.962,76º33.686,15:55,2:00,4,138,,0.5,27.7,34,doors not fishing properly
20190726,Annual Trawling,1,"Back sound, NC",SG3,3,seagrass,34º41.998,76º35.577,13:35,3:25,4,241,,0.75,27.7,36,bed small - 1 longer trawl
20190726,Annual Trawling,2,"Back sound, NC",SG4,4,seagrass,34º42.173,76º35.272,14:00,2:00,3.5,122,,0.75-1,28.1,35,
20190726,Annual Trawling,3,"Back sound, NC",SG4,4,seagrass,34º42.158,76º35.256,14:07,2:00,3.5,119,,0.75-1,28.1,35,
20190726,Annual Trawling,4,"Back sound, NC",MF2,2,mudflat,34º42.478,76º35.827,14:35,2:00,2.9,98,,1,27.2,34,
20190726,Annual Trawling,5,"Back sound, NC",MF2,2,mudflat,34º42.468,76º35.870,14:44,2:17,2.4,93,,0.75,27.2,34,
20190726,Annual Trawling,6,"Back sound, NC",C5,5,creek,34º42.570,76º36.644,14:50,2:00,4.5,152,,2,27.2,35,
20190726,Annual Trawling,7,"Back sound, NC",C5,5,creek,34º42.619,76º36.081,14:53,2:00,4,139,,1.5,27.2,35,
20190726,Annual Trawling,8,"Back sound, NC",C2,2,creek,34º41.597,76º36.833,15:10,2:05,4.5,161,,0.75,28.5,35,
20190726,Annual Trawling,9,"Back sound, NC",C2,2,creek,34º41.604,76º36.740,15:13,2:00,4.5,146,,1.25,28.5,35,
20190726,Annual Trawling,10,"Back sound, NC",SG1,1,seagrass,34º41.464,76º37.256,15:20,2:03,4.2,142,,1,28.1,36,
20190726,Annual Trawling,11,"Back sound, NC",SG1,1,seagrass,34º41.470,76º37.291,15:26,2:00,3.2,110,,1,28.2,36,
