Site,avg_ACI1024
C7,48.32825531
S10,29.64408637
S12,38.95755082
M2,36.07513214
C2,45.42322137
S2,38.82406382
S4,36.39482878
M1,25.89247916
CB,47.6379174
SB,44.65412063
SC,45.66364227
MA,39.58594276
C8,42.02900958
S6,42.9009238
S9,42.4598711
M7,34.55627746
C4,51.82850523
C5,58.18376527
S14,49.4231844
S15,52.57060344
C3,50.91991227
C6,44.31919597
S1,44.94052053
S17,44.21238493
