Site,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate
C7,8.5,12.64705882,26
S10,27.5,11.83636364,26
S12,3,9.5,14
M2,0,0,0
C2,74.73684211,32.01408451,98
S2,71.49122807,23.04294479,75
S4,60.52631579,11.83478261,51
M1,0,0,0
CB,0,0,0
SB,1.025641026,8,9
SC,20,10.6025641,33
MA,0,0,0
C8,0,0,0
S6,0,0,0
S9,3.418803419,8.666666667,18
M7,0,0,0
C4,27.64227642,10.05882353,26
C5,0,0,0
S14,0,0,0
S15,0,0,0
C3,0,0,0
C6,0,0,0
S1,0,0,0
S17,0,0,0
