,oyster,sal_avg,dist2adjPatch,avg_spl_low,avg_spl_high,ToadCallRate,ToadCallRateNorm
oyster,1,-0.267517507,-0.14722425,0.750851653,0.670155999,0.724821406,0.757009582
sal_avg,-0.267517507,1,0.281575746,-0.438977162,-0.623186112,0.01165964,0.076912392
dist2adjPatch,-0.14722425,0.281575746,1,0.336020116,0.290829342,0.111756681,-0.018998362
avg_spl_low,0.750851653,-0.438977162,0.336020116,1,0.868311388,0.695120474,0.567082213
avg_spl_high,0.670155999,-0.623186112,0.290829342,0.868311388,1,0.44874604,0.358002888
ToadCallRate,0.724821406,0.01165964,0.111756681,0.695120474,0.44874604,1,0.965052639
ToadCallRateNorm,0.757009582,0.076912392,-0.018998362,0.567082213,0.358002888,0.965052639,1
