site,habitat,deploy
C7,creek,1
S10,seagrass,1
S12,seagrass,1
M2,mudflat,1
C2,creek,2
S2,seagrass,2
S4,seagrass,2
M1,mudflat,2
CB,creek,3
SB,seagrass,3
SC,seagrass,3
MA,mudflat,3
C8,creek,4
S6,seagrass,4
S9,seagrass,4
M7,mudflat,4
C4,creek,5
C5,creek,5
S14,seagrass,5
S15,seagrass,5
C3,creek,6
C6,creek,6
S1,seagrass,6
S17,seagrass,6
