Site,avg_H1024
C7,0.895477651
S10,0.874025917
S12,0.857520073
M2,0.917479691
C2,0.858315953
S2,0.847834264
S4,0.934362602
M1,0.950300257
CB,0.931732987
SB,0.932559232
SC,0.932052177
MA,0.928713787
C8,0.918466577
S6,0.906929131
S9,0.903578917
M7,0.928567522
C4,0.89633544
C5,0.91738397
S14,0.898029201
S15,0.903554444
C3,0.918570261
C6,0.860884444
S1,0.924420956
S17,0.901940545
