Var1,Var2,Var3
C7,1.59487179487179,0.0729166666666667
S10,3.07638888888889,0.29375
S12,1.5219298245614,0.0770833333333333
M2,NaN,0.0583333333333333
C2,2.3039752362333,0.80625
S2,1.41759259259259,0.128472222222222
S4,1.58677330581355,0.539583333333333
M1,NaN,0.164583333333333
CB,1.58888888888889,0.046875
SB,1.10424107142857,0.0885416666666667
SC,1.27946999405823,0.246875
MA,1,0.000946969696969697
C8,NaN,0
S6,1.2,0.0208333333333333
S9,1.54206381657656,0.202546296296296
M7,NaN,0.00231481481481481
C4,1.75267827985219,0.510416666666667
C5,1.7213767344178,0.631944444444444
S14,NaN,0
S15,NaN,0
C3,NaN,0.00868055555555555
C6,NaN,0.00694444444444444
S1,1.08333333333333,0.0329861111111111
S17,2,0.00347222222222222
