site_code,avg_temp
C7,22.21851852
SG10,23.36296296
SG12,22.91358025
MF2,21.99135802
C2,24.84705882
SG2,26.2
SG4,25.20461538
MF1,24.50588235
CB,26.26111111
SB,25.69379085
SC,26.31013072
MFA,23.71088235
C8,26.04044118
SG6,27.72279412
SG9,27.2
MF7,26.68786765
C4,25.79470588
C5,25.45882353
S14,26.21405229
S15,25.66830065
C3,25.74117647
C6,26.02294118
SG1,25.92470588
SG17,25.87588235
